CONTA,PETRÓLEO,GÁS NATURAL,CARVÃO VAPOR,CARVÃO METALÚRGICO,URÂNIO U3O8,ENERGIA HIDRÁULICA,LENHA,PRODUTOS DA CANA,OUTRAS FONTES PRIMÁRIAS,ENERGIA PRIMÁRIA TOTAL,BIODIESEL,ÓLEO DIESEL,ÓLEO COMBUSTÍVEL,GASOLINA,GLP,NAFTA,QUEROSENE,GÁS DE CIDADE E DE COQUERIA,COQUE DE CARVÃO MINERAL,URÂNIO CONTIDO NO UO2,ELETRICIDADE,CARVÃO VEGETAL,ÁLCOOL ETÍLICO ANIDRO E HIDRATADO,OUTRAS SECUNDÁRIAS DE PETRÓLEO,PRODUTOS NÃO ENERGÉTICOS DE PETRÓLEO,ALCATRÃO,ENERGIA SECUNDÁRIA TOTAL,TOTAL,Ano
    PÚBLICO,0,21,0.0,0,0,0,0,0,0,21,0,4,5,0,262,0,0,0,0,0,3923,0,0,0,0,0,4196,4217,2023-01-01
    AGROPECUÁRIO  ,0,0,0.0,0,0,0,3378,0,0,3378,836,6867,7,0,25,0,0,0,0,0,2905,9,9,0,0,0,10662,14040,2023-01-01
    TRANSPORTES - TOTAL  ,0,1722,0.0,0,0,0,0,0,0,1722,4891,40526,701,25905,0,0,3290,0,0,0,172,0,16105,0,0,0,91593,93315,2023-01-01
      RODOVIÁRIO  ,0,1722,0.0,0,0,0,0,0,0,1722,4770,39170,0,25873,0,0,0,0,0,0,10,0,16105,0,0,0,85929,87652,2023-01-01
      FERROVIÁRIO  ,0,0,0.0,0,0,0,0,0,0,0,120,992,0,0,0,0,0,0,0,0,162,0,0,0,0,0,1275,1275,2023-01-01
      AÉREO ,0,0,0.0,0,0,0,0,0,0,0,0,0,0,32,0,0,3290,0,0,0,0,0,0,0,0,0,3323,3323,2023-01-01
      HIDROVIÁRIO  ,0,0,0.0,0,0,0,0,0,0,0,0,363,701,0,0,0,0,0,0,0,0,0,0,0,0,0,1064,1064,2023-01-01
   INDUSTRIAL - TOTAL  ,0,8544,3305.45069160653,0,0,0,7845,20085,9792,49573,143,1182,1422,0,974,0,0,1154,7124,0,19310,3769,0,5432,0,81,40596,90169,2023-01-01
      CIMENTO  ,0,4,81.9702793583764,0,0,0,69,0,1020,1176,4,36,7,0,13,0,0,0,83,0,646,107,0,2728,0,0,3628,4804,2023-01-01
      FERRO-GUSA E AÇO  ,0,1305,2154.72656995239,0,0,0,0,0,0,3460,4,34,5,0,35,0,0,1154,6620,0,1468,2782,0,36,0,81,12223,15684,2023-01-01
      FERRO-LIGAS  ,0,0,0.0,0,0,0,45,0,0,45,1,12,40,0,30,0,0,0,75,0,830,838,0,58,0,0,1889,1934,2023-01-01
      MINERAÇÃO E PELOTIZAÇÃO,0,299,165.868664314909,0,0,0,0,0,0,465,53,439,102,0,33,0,0,0,34,0,1098,0,0,201,0,0,1963,2428,2023-01-01
      NÃO-FERROSOS E OUTROS DA METALURGIA,0,473,667.709784997622,0,0,0,0,0,0,1140,1,16,841,0,46,0,0,0,310,0,2577,10,0,443,0,0,4248,5389,2023-01-01
      QUÍMICA  ,0,1938,141.16227304094,0,0,0,46,0,80,2205,2,20,51,0,175,0,0,0,0,0,1977,16,0,1434,0,0,3679,5884,2023-01-01
      ALIMENTOS E BEBIDAS  ,0,871,4.3648775,0,0,0,2656,20046,12,23591,29,242,47,0,213,0,0,0,0,0,2747,0,0,88,0,0,3367,26959,2023-01-01
      TÊXTIL  ,0,147,0.0,0,0,0,56,0,0,204,0,0,0,0,27,0,0,0,0,0,514,0,0,0,0,0,543,747,2023-01-01
      PAPEL E CELULOSE  ,0,875,32.1045532,0,0,0,2086,38,8591,11623,32,267,266,0,56,0,0,0,0,0,2188,0,0,0,0,0,2810,14434,2023-01-01
      CERÂMICA ,0,1143,38.497951314295,0,0,0,2015,0,55,3252,2,17,31,0,181,0,0,0,0,0,327,0,0,73,0,0,632,3885,2023-01-01
      OUTROS  ,0,1485,19.045737928,0,0,0,868,0,32,2405,11,95,28,0,160,0,0,0,0,0,4933,12,0,367,0,0,5609,8015,2023-01-01
   CONSUMO NÃO-IDENTIFICADO  ,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-01-01
 AJUSTES  ,-36,-277,-15.6159779661569,1,0,0,0,0,0,-329,6,-65,12,-19,-12,-23,-35,0,-24,0,0,0,0,111,-27,-3,-80,-409,2023-01-01
    PRODUÇÃO  ,156397,49970,2311.04221621794,0,516,36731,27265,47738,33666,354597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,354597,2022-01-01
    IMPORTAÇÃO  ,12723,7721,3298.06595228507,7404,3159,0,0,0,0,34307,0,12198,201,3192,2143,6451,1063,0,1081,2780,1538,0,52,3744,1533,0,35982,70290,2022-01-01
    VARIAÇÃO DE ESTOQUES  ,-470,0,23.3355071388069,55,534,0,0,0,0,143,-14,-506,-566,-568,-37,-52,-148,0,-179,-3129,0,0,176,27,-60,0,-5060,-4916,2022-01-01
 OFERTA TOTAL  ,168651,57692,5632.44367564181,7460,4210,36731,27265,47738,33666,389048,-14,11691,-364,2624,2106,6399,915,0,902,-349,1538,0,228,3771,1472,0,30922,419970,2022-01-01
    EXPORTAÇÃO  ,-69579,0,0.0,0,0,0,0,0,0,-69579,0,-547,-14592,-420,0,-379,-1772,0,0,0,-428,0,-1235,-820,-282,0,-20477,-90057,2022-01-01
    NÃO-APROVEITADA  ,0,-1228,0.0,0,0,0,0,0,0,-1228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1228,2022-01-01
    REINJEÇÃO  ,0,-24724,0.0,0,0,0,0,0,0,-24724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-24724,2022-01-01
 OFERTA INTERNA BRUTA  ,99071,31739,5632.44367564181,7460,4210,36731,27265,47738,33666,293516,-14,11143,-14957,2203,2106,6020,-856,0,902,-349,1110,0,-1006,2951,1190,0,10444,303960,2022-01-01
 TOTAL TRANSFORMAÇÃO  ,-99008,-14606,-2035.16586502764,-7450,-4210,-36731,-8843,-19720,-21883,-214488,4870,37093,17447,22078,6125,982,3997,1355,6515,349,58235,4478,16884,5961,5535,236,192149,-22339,2022-01-01
    REFINARIAS DE PETRÓLEO  ,-97457,0,0.0,0,0,0,0,0,-4755,-102213,0,38608,17724,20326,4702,4465,3997,0,0,0,0,0,0,6857,5378,0,102060,-152,2022-01-01
    PLANTAS DE GÁS NATURAL  ,0,-3713,0.0,0,0,0,0,0,1000,-2712,0,0,0,0,1304,0,0,0,0,0,0,0,0,0,1033,0,2337,-375,2022-01-01
    USINAS DE GASEIFICAÇÃO  ,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-01-01
    COQUERIAS,0,0,0.0,-7450,0,0,0,0,0,-7450,0,0,0,0,0,0,0,1705,6515,0,0,0,0,-1209,0,244,7256,-193,2022-01-01
    CICLO DO COMBUSTÍVEL NUCLEAR,0,0,0.0,0,-4210,0,0,0,0,-4210,0,0,0,0,0,0,0,0,0,4143,0,0,0,0,0,0,4143,-67,2022-01-01
    CENTRAIS ELÉTRICAS DE SERVIÇO PÚBLICO,0,-4906,-1829.93692766222,0,0,-34972,-102,0,-8399,-50210,-80,-778,-9,0,0,0,0,0,0,-3794,47433,0,0,-33,0,0,42737,-7472,2022-01-01
    CENTRAIS ELÉTRICAS AUTOPRODUTORAS,0,-4257,-205.228937365418,0,0,-1759,-337,-5427,-6526,-18514,-5,-568,-192,0,0,0,0,-349,0,0,10802,0,0,-584,0,-7,9094,-9419,2022-01-01
    CARVOARIAS,0,0,0.0,0,0,0,-8403,0,0,-8403,0,0,0,0,0,0,0,0,0,0,0,4478,0,0,0,0,4478,-3924,2022-01-01
    DESTILARIAS,0,0,0.0,0,0,0,0,-14292,-2636,-16928,0,0,0,0,0,0,0,0,0,0,0,0,16884,0,0,0,16884,-43,2022-01-01
    OUTRAS TRANSFORMAÇÕES,-1550,-1728,0.0,0,0,0,0,0,-567,-3846,4957,-167,-75,1752,119,-3483,0,0,0,0,0,0,0,930,-876,0,3156,-690,2022-01-01
